595.13,494.56,-700,662.76,469.87,-100,@ninagawamika,@posuto,2012-10-19 2:10:15,0,135,255,10
595.13,494.56,-700,524.88,478.76,-100,@ninagawamika,@iku_cat19,2012-10-19 2:10:18,0,135,255,10
595.13,494.56,-700,530.43,526.15,-100,@ninagawamika,@so_ejima,2012-10-19 2:10:26,0,135,255,10
595.13,494.56,-700,589.79,422.76,-100,@ninagawamika,@hiroohi,2012-10-19 2:10:27,0,135,255,10
512.13,612.23,100,463.6,665.89,200,@touch_lab,@Feeell,2012-10-19 2:10:29,0,240,255,10
595.13,494.56,-700,556.14,434.03,-100,@ninagawamika,@ERIRYU_,2012-10-19 2:10:38,0,135,255,10
595.13,494.56,-700,534.67,455.45,-100,@ninagawamika,@yk_z_n,2012-10-19 2:10:39,0,135,255,10
589.79,422.76,-100,467.21,560.69,100,@hiroohi,@minamiyan,2012-10-19 2:10:45,255,255,255,2
595.13,494.56,-700,633.21,433.45,-100,@ninagawamika,@Kiiro_Yamabu,2012-10-19 2:10:47,0,135,255,10
595.13,494.56,-700,539.05,449.4,-100,@ninagawamika,@saltcoh,2012-10-19 2:10:48,0,135,255,10
595.13,494.56,-700,547.27,548.35,-100,@ninagawamika,@matsumaruROCK,2012-10-19 2:10:51,0,135,255,10
595.13,494.56,-700,524.55,480.32,-100,@ninagawamika,@LAemiC,2012-10-19 2:11:06,0,135,255,10
595.13,494.56,-700,666.99,490.06,-100,@ninagawamika,@popi_07rgy,2012-10-19 2:11:06,0,135,255,10
595.13,494.56,-700,536.14,535.85,-100,@ninagawamika,@sueety,2012-10-19 2:11:07,0,135,255,10
595.13,494.56,-700,661.54,466.73,-100,@ninagawamika,@tomyan88,2012-10-19 2:11:09,0,135,255,10
595.13,494.56,-700,665.92,507.68,-100,@ninagawamika,@ironyxirony,2012-10-19 2:11:09,0,135,255,10
451.88,479.89,100,542.81,445.09,-100,@uche_chang,@mahorobanagi,2012-10-19 2:11:10,0,240,255,10
512.13,612.23,100,468.9,669.84,200,@touch_lab,@kenroafrocuban,2012-10-19 2:11:11,0,240,255,10
595.13,494.56,-700,607.58,565.47,-100,@ninagawamika,@patsnuts,2012-10-19 2:11:11,0,135,255,10
467.21,560.69,100,589.79,422.76,-100,@minamiyan,@hiroohi,2012-10-19 2:11:13,255,255,255,2
595.13,494.56,-700,534.11,532.78,-100,@ninagawamika,@saisei_666,2012-10-19 2:11:23,0,135,255,10
512.13,612.23,100,479.4,676.94,200,@touch_lab,@naokoi,2012-10-19 2:11:27,0,240,255,10
595.13,494.56,-700,622.83,428.1,-100,@ninagawamika,@lingsgr_,2012-10-19 2:11:30,0,135,255,10
595.13,494.56,-700,552.26,436.71,-100,@ninagawamika,@k_o_c_c_h_a_n,2012-10-19 2:11:31,0,135,255,10
595.13,494.56,-700,643.91,441.61,-100,@ninagawamika,@genialoide_K,2012-10-19 2:11:34,0,135,255,10
486.78,681.42,200,523.38,619.41,100,@kazuya999,@aixca,2012-10-19 2:11:36,255,255,255,2
595.13,494.56,-700,566.67,428.42,-100,@ninagawamika,@springbear,2012-10-19 2:11:47,0,135,255,10
595.13,494.56,-700,608.84,565.24,-100,@ninagawamika,@ai_bunnta,2012-10-19 2:11:53,0,135,255,10
595.13,494.56,-700,563.55,429.85,-100,@ninagawamika,@nuitetjour,2012-10-19 2:11:53,0,135,255,10
589.79,422.76,-100,503.42,383.54,100,@hiroohi,@jillstuarts,2012-10-19 2:11:54,255,255,255,2
595.13,494.56,-700,579.5,424.27,-100,@ninagawamika,@kasajei,2012-10-19 2:11:55,0,135,255,10
595.13,494.56,-700,536.53,536.4,-100,@ninagawamika,@ahahaha0320,2012-10-19 2:11:57,0,135,255,10
595.13,494.56,-700,628.43,558.4,-100,@ninagawamika,@betaro,2012-10-19 2:12:02,0,135,255,10
647.44,445.09,-100,595.13,494.56,-700,@yayoxoxo,@ninagawamika,2012-10-19 2:12:07,255,255,255,2
512.13,612.23,100,474.48,673.72,200,@touch_lab,@ken0736,2012-10-19 2:12:11,0,240,255,10
595.13,494.56,-700,667.04,490.98,-100,@ninagawamika,@makorino,2012-10-19 2:12:12,0,135,255,10
595.13,494.56,-700,666.94,489.39,-100,@ninagawamika,@Doooox923,2012-10-19 2:12:13,0,135,255,10
595.13,494.56,-700,667.11,492.69,-100,@ninagawamika,@SiMACO_69,2012-10-19 2:12:14,0,135,255,10
467.21,560.69,100,589.79,422.76,-100,@minamiyan,@hiroohi,2012-10-19 2:12:29,255,255,255,2
595.13,494.56,-700,579.35,564.81,-100,@ninagawamika,@xx_mixberry_xx,2012-10-19 2:12:31,0,135,255,10
595.13,494.56,-700,543.56,444.32,-100,@ninagawamika,@tsuizui_geinou,2012-10-19 2:12:31,0,135,255,10
595.13,494.56,-700,629.88,557.61,-100,@ninagawamika,@SAWA_naoYUkI,2012-10-19 2:12:34,0,135,255,10
595.13,494.56,-700,663.77,472.82,-100,@ninagawamika,@xlivevilx,2012-10-19 2:12:35,0,135,255,10
595.13,494.56,-700,648.32,446.03,-100,@ninagawamika,@akiko_0810,2012-10-19 2:12:35,0,135,255,10
595.13,494.56,-700,649.82,447.73,-100,@ninagawamika,@yukishi_maimu,2012-10-19 2:12:37,0,135,255,10
595.13,494.56,-700,535.08,454.84,-100,@ninagawamika,@_Senmi,2012-10-19 2:12:41,0,135,255,10
595.13,494.56,-700,564.1,429.59,-100,@ninagawamika,@UNTN,2012-10-19 2:12:48,0,135,255,10
595.13,494.56,-700,537.0,537.04,-100,@ninagawamika,@LUMI76RINGO,2012-10-19 2:12:50,0,135,255,10
595.13,494.56,-700,654.1,453.24,-100,@ninagawamika,@kmhiyo,2012-10-19 2:12:54,0,135,255,10
595.13,494.56,-700,529.59,524.38,-100,@ninagawamika,@aniuy_o,2012-10-19 2:12:55,0,135,255,10
595.13,494.56,-700,561.53,558.24,-100,@ninagawamika,@kkzh16,2012-10-19 2:12:57,0,135,255,10
595.13,494.56,-700,564.94,559.92,-100,@ninagawamika,@3j_nt,2012-10-19 2:13:00,0,135,255,10
